Date,Fatalities,Wounded
11/22/2004,1,
12/10/2004,1,
1/6/2005,1,
2/8/2005,0,1.0
3/2/2005,1,0.0
3/21/2005,10,
3/21/2005,10,7.0
5/17/2005,1,
9/13/2005,0,
9/13/2005,0,1.0
11/8/2005,1,
11/8/2005,1,2.0
1/13/2006,1,
1/13/2006,0,1.0
1/15/2006,1,
2/23/2006,1,
2/23/2006,0,1.0
3/14/2006,0,
3/14/2006,0,2.0
6/5/2006,1,
8/24/2006,2,
8/24/2006,2,3.0
8/30/2006,3,
8/30/2006,0,2.0
9/2/2006,2,
9/2/2006,3,0.0
9/17/2006,0,
9/17/2006,0,5.0
9/27/2006,1,
9/27/2006,2,0.0
9/29/2006,1,
9/29/2006,1,0.0
10/2/2006,5,
10/2/2006,6,3.0
10/9/2006,0,
10/9/2006,0,0.0
10/17/2006,1,
10/29/2006,1,
11/28/2006,1,
12/12/2006,1,
1/3/2007,1,
1/3/2007,1,0.0
2/8/2007,1,
3/7/2007,0,
3/7/2007,0,
3/7/2007,0,1.0
3/24/2007,0,
4/2/2007,1,
4/10/2007,0,
4/16/2007,32,
4/16/2007,33,23.0
9/21/2007,1,
9/28/2007,0,
9/30/2007,1,
10/10/2007,0,
10/10/2007,1,4.0
11/6/2007,0,1.0
1/15/2008,0,
1/16/2008,0,
1/16/2008,0,
2/4/2008,0,
2/4/2008,0,1.0
2/7/2008,0,
2/8/2008,3,
2/8/2008,3,0.0
2/11/2008,0,
2/11/2008,0,1.0
2/12/2008,1,
2/12/2008,1,0.0
2/14/2008,5,
2/14/2008,6,21.0
2/23/2008,0,
2/27/2008,0,
2/28/2008,0,
3/6/2008,1,
3/7/2008,1,
4/5/2008,1,
4/16/2008,1,
4/24/2008,0,
4/29/2008,0,
7/24/2008,0,
8/14/2008,1,
8/14/2008,1,0.0
8/21/2008,1,
8/21/2008,1,0.0
8/29/2008,0,
9/2/2008,0,
9/2/2008,0,0.0
10/13/2008,1,
10/16/2008,1,
10/16/2008,1,3.0
10/20/2008,1,
10/21/2008,1,
10/26/2008,2,
10/26/2008,2,1.0
10/31/2008,0,
11/12/2008,1,
11/13/2008,1,0.0
11/15/2008,1,
11/21/2008,0,
1/8/2009,0,
1/9/2009,0,
1/9/2009,0,5.0
1/23/2009,1,
2/7/2009,1,
2/11/2009,0,
2/17/2009,0,
3/6/2009,0,
3/10/2009,2,
4/10/2009,1,
4/24/2009,1,
4/26/2009,0,
4/26/2009,0,3.0
5/1/2009,0,
5/5/2009,0,
5/18/2009,0,
5/18/2009,1,
5/18/2009,1,0.0
5/18/2009,1,0.0
6/9/2009,1,
6/16/2009,0,
6/16/2009,0,3.0
6/24/2009,1,
9/2/2009,0,
9/3/2009,1,
9/3/2009,0,1.0
9/8/2009,0,
9/14/2009,0,
9/16/2009,0,
10/16/2009,1,
10/16/2009,1,0.0
10/30/2009,1,
11/16/2009,0,
12/2/2009,0,
12/8/2009,0,
12/11/2009,0,
1/7/2010,0,
1/20/2010,1,
2/5/2010,1,
2/5/2010,1,0.0
2/10/2010,0,
2/12/2010,3,
2/12/2010,3,3.0
2/19/2010,0,
2/19/2010,0,1.0
2/23/2010,0,
2/23/2010,0,2.0
2/26/2010,2,
3/9/2010,1,
3/9/2010,1,1.0
4/29/2010,0,
5/18/2010,0,
8/31/2010,1,
9/7/2010,0,
9/8/2010,0,2.0
9/16/2010,1,
9/21/2010,0,
9/28/2010,1,
9/28/2010,1,0.0
10/1/2010,1,
10/1/2010,1,0.0
10/3/2010,1,
10/8/2010,0,
10/8/2010,0,2.0
10/25/2010,0,
11/29/2010,0,
11/29/2010,1,0.0
12/6/2010,0,1.0
1/5/2011,1,
1/5/2011,2,2.0
1/18/2011,0,
2/2/2011,1,
2/14/2011,0,
2/23/2011,1,
3/25/2011,0,
3/25/2011,0,1.0
3/31/2011,1,
3/31/2011,1,5.0
4/6/2011,1,
4/13/2011,0,
4/19/2011,0,
5/23/2011,0,
5/23/2011,0,1.0
8/26/2011,0,
10/24/2011,0,
10/24/2011,0,1.0
11/15/2011,0,
12/8/2011,1,
12/8/2011,2,0.0
12/9/2011,0,
12/9/2011,0,2.0
1/4/2012,0,
1/10/2012,0,
1/10/2012,0,1.0
2/10/2012,0,
2/22/2012,0,
2/27/2012,3,
2/27/2012,3,3.0
3/6/2012,1,
3/6/2012,2,0.0
3/24/2012,1,
4/2/2012,7,
4/2/2012,7,3.0
5/26/2012,1,
8/16/2012,0,
8/16/2012,0,2.0
8/27/2012,0,
8/27/2012,0,1.0
9/7/2012,0,
9/7/2012,0,0.0
9/12/2012,0,
10/6/2012,1,0.0
10/19/2012,1,0.0
10/31/2012,0,
10/31/2012,0,4.0
11/30/2012,0,
12/14/2012,27,
12/14/2012,28,2.0
1/7/2013,1,
1/7/2013,1,0.0
1/10/2013,0,
1/10/2013,0,2.0
1/12/2013,0,1.0
1/15/2013,3,
1/15/2013,0,
1/15/2013,0,2.0
1/15/2013,3,0.0
1/16/2013,0,
1/16/2013,1,0.0
1/22/2013,0,
1/22/2013,0,3.0
1/31/2013,0,
1/31/2013,0,
1/31/2013,0,0.0
1/31/2013,0,2.0
3/18/2013,1,
3/18/2013,1,0.0
4/12/2013,0,
4/12/2013,0,2.0
4/16/2013,0,
4/16/2013,0,3.0
4/18/2013,2,
4/18/2013,2,1.0
5/14/2013,0,
5/14/2013,0,0.0
6/7/2013,6,
6/7/2013,6,4.0
6/20/2013,2,
8/20/2013,0,
8/20/2013,0,0.0
8/23/2013,1,
8/23/2013,1,2.0
8/30/2013,0,
8/30/2013,0,1.0
10/4/2013,0,
10/4/2013,0,2.0
10/21/2013,2,
10/21/2013,2,2.0
11/2/2013,0,
11/2/2013,0,1.0
11/3/2013,0,
11/3/2013,0,2.0
11/13/2013,0,
11/13/2013,0,3.0
12/4/2013,0,
12/4/2013,0,1.0
12/13/2013,2,
12/13/2013,2,0.0
12/19/2013,0,
12/19/2013,0,1.0
1/9/2014,0,1.0
1/13/2014,0,1.0
1/14/2014,0,3.0
1/17/2014,0,2.0
1/20/2014,0,1.0
1/21/2014,1,0.0
1/24/2014,1,0.0
1/25/2014,1,0.0
1/27/2014,0,1.0
1/28/2014,0,1.0
1/30/2014,0,1.0
1/31/2014,0,1.0
2/10/2014,0,1.0
2/10/2014,0,0.0
2/12/2014,0,1.0
2/22/2014,0,1.0
3/12/2014,1,0.0
3/25/2014,0,0.0
4/9/2014,0,0.0
4/11/2014,1,0.0
5/4/2014,0,1.0
5/5/2014,0,1.0
5/8/2014,0,1.0
5/14/2014,0,1.0
6/5/2014,1,2.0
6/10/2014,2,1.0
9/9/2014,0,1.0
9/27/2014,0,1.0
9/30/2014,0,1.0
9/30/2014,0,1.0
10/3/2014,1,0.0
10/24/2014,5,1.0
11/20/2014,1,3.0
11/20/2014,1,1.0
12/5/2014,1,0.0
12/12/2014,0,4.0
1/15/2015,0,3.0
1/16/2015,0,2.0
2/4/2015,0,2.0
2/14/2015,1,0.0
2/23/2015,0,3.0
3/30/2015,0,1.0
4/13/2015,1,0.0
4/16/2015,0,1.0
4/27/2015,0,0.0
5/12/2015,0,2.0
5/24/2015,0,7.0
8/27/2015,1,0.0
9/3/2015,1,2.0
9/14/2015,2,0.0
9/30/2015,0,1.0
10/1/2015,10,9.0
10/9/2015,1,3.0
